year,city,male,female,gender_ratio
114,新北市,1961619,2083212,94.16
114,臺北市,1148819,1290688,89.01
114,桃園市,1158094,1197012,96.75
114,臺中市,1398055,1470410,95.08
114,臺南市,917451,935026,98.12
114,高雄市,1329197,1389348,95.67
114,宜蘭縣,225017,224319,100.31
114,新竹縣,303826,293409,103.55
114,苗栗縣,272809,258363,105.59
114,彰化縣,613513,596693,102.82
114,南投縣,237579,230302,103.16
114,雲林縣,334243,316746,105.52
114,嘉義縣,244656,228525,107.06
114,屏東縣,395140,387116,102.07
114,臺東縣,105848,102472,103.29
114,花蓮縣,156629,156178,100.29
114,澎湖縣,54574,52142,104.66
114,基隆市,178300,181536,98.22
114,新竹市,224870,230870,97.4
114,嘉義市,125065,136527,91.6
114,金門縣,69184,70129,98.65
114,連江縣,7913,5708,138.63
